level,topic,label
6,E4-5,"Disclosure of population size, range within specific ecosystems and extinction risk"
6,E4-5,Disclosure of metrics that measure changes in number of individuals of species within specific area
6,E4-5,Disclosure of metrics on species at extinction risk
7,E4-5,Disclosure of metrics that measure threat status of species and how activities or pressures may affect threat status
7,E4-5,Disclosure of metrics that measure changes in relevant habitat for threatened species as proxy for impact on local population's extinction risk
5,E4-5,Disclosure of metrics considered relevant for extent and condition of ecosystems
5,E4-5,Disclosure of contextual information on impact metrics related to biodiversity and ecosystems change
5,E4-5,Disclosure of paragraph in other environment-related standard in which state of species metric is referred to
5,E4-5,Disclosure of metrics that measure area coverage of ecosystem
5,E4-5,Disclosure of metrics that measure quality of ecosystem relative to pre-determined reference state
5,E4-5,Disclosure of metrics that measure multiple species within ecosystem
5,E4-5,Disclosure of metrics that measure structural components of ecosystem condition
5,E4-5,"Disclosure of metrics that measure process or function that ecosystem completes, or that reflect ability of ecosystem to undertake that specific process or function"
5,E4-5,Disclosure of metrics that measure changes to population of scientifically identified species under threat
1,E4-6,Disclosure of anticipated financial effects of material biodiversity- and ecosystem-related risks and opportunities
2,E4-6,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from biodiversity- and ecosystem-related impacts and dependencies. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
2,E4-6,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from biodiversity- and ecosystem-related impacts and dependencies
2,E4-6,"Disclosure of critical assumptions used to quantify anticipated financial effects, sources and level of uncertainty of assumptions (biodiversity and ecosystems)"
4,E4-6,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from biodiversity- and ecosystem-related impacts and dependencies. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
4,E4-6,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from biodiversity- and ecosystem-related impacts and dependencies
4,E4-6,"Description of effects considered, related impacts and dependencies and time horizons in which they are likely to materialise (biodiversity and ecosystems)"
1,E5.IRO-1,"Disclosure of process to identify impacts, risks and opportunities and to assess which ones are material"
2,E5.IRO-1,"Information about methodologies, assumptions and tools used to screen assets and activities in order to identify actual and potential impacts, risks and opportunities in own operations and value chain (resource use and circular economy)"
3,E5.IRO-1,Disclosure of how consultations have been conducted (resource use and circular economy)
1,E5-1,"Disclosure of policies adopted to manage material impacts, risks and opportunities related to resource use and circular economy"
4,E5-1,Description of key contents of policy
4,E5-1,Description of scope of policy or of its exclusions
4,E5-1,Description of most senior level in organisation that is accountable for implementation of policy
4,E5-1,Disclosure of third-party standards or initiatives that are respected through implementation of policy
4,E5-1,Description of consideration given to interests of key stakeholders in setting policy
5,E5-1,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
5,E5-1,Disclosure of how policy addresses transitioning away from use of virgin resources
5,E5-1,Disclosure of how policy addresses sustainable sourcing and use of renewable resources
5,E5-1,Description of how policy addresses waste hierarchy
5,E5-1,Disclosure of how policy addresses prioritisation of avoidance or minimisation waste over waste treatment
1,E5-2,Disclosure of resource use and circular economy actions and resources allocated to their implementation
2,E5-2,Disclosure of actions taken to engage with upstream and downstream value chain and (or) local network on development of collaborations or initiatives increasing circularity of products and materials
4,E5-2,Disclosure of key action
4,E5-2,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
4,E5-2,Description of scope of key action
4,E5-2,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
5,E5-2,Disclosure of how action covers higher levels of resource efficiency in use of technical and biological materials and water
5,E5-2,Disclosure of how action covers higher rates of use of secondary raw materials (recyclates)
5,E5-2,"Disclosure of how action covers application of circular design and higher rates of Reuse, Repair, Refurbishing, Remanufacture, Repurposing and Recycling"
5,E5-2,Disclosure of how action covers application of circular business practices
5,E5-2,Disclosure of how action covers actions taken to prevent waste generation in upstream and downstream value chain
5,E5-2,Disclosure of how action covers optimisation of waste management in line with waste hierarchy
4,E5-2,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
5,E5-2,Description of type of current and future financial and other resources allocated to action plan
5,E5-2,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
6,E5-2,Disclosure of how resources cover higher levels of resource efficiency in use of technical and biological materials and water
6,E5-2,Disclosure of how resources cover higher rates of use of secondary raw materials (recyclates)
6,E5-2,"Disclosure of how resources cover application of circular design and higher rates of Reuse, Repair, Refurbishing, Remanufacture, Repurposing and Recycling"
6,E5-2,Disclosure of how resources cover application of circular business practices
6,E5-2,Disclosure of how resources cover actions taken to prevent waste generation in upstream and downstream value chain
6,E5-2,Disclosure of how resources cover optimisation of waste management in line with waste hierarchy
1,E5-3,Disclosure of resource use and circular economy-related targets
4,E5-3,Disclosure of measurable outcome-oriented and time-bound target
5,E5-3,Description of scope of target
5,E5-3,Indication of milestones or interim targets
5,E5-3,Description of methodologies and significant assumptions used to define target
6,E5-3,Disclosure of how stakeholders have been involved in target setting
5,E5-3,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
5,E5-3,Description of performance against disclosed target
6,E5-3,Disclosure of how target relates to resource inflows (resource use and circular economy)
6,E5-3,Disclosure of how target relates to resource outflows (resource use and circular economy)
6,E5-3,Disclosure of how target relates to increase of circular product design
6,E5-3,Disclosure of how target relates to increase of circular material use rate
6,E5-3,Disclosure of how target relates to minimisation of primary raw material
6,E5-3,Disclosure of how target relates to sustainable sourcing and use of renewable resources
6,E5-3,Disclosure of how target relates to waste management
6,E5-3,Disclosure of how target relates to other matters related to resource use or circular economy
6,E5-3,Disclosure of ecological thresholds identified and methodology used to identify ecological thresholds (resource use and circular economy)
7,E5-3,Disclosure of how ecological entity-specific thresholds were determined (resource use and circular economy)
6,E5-3,Disclosure of how responsibility for respecting identified ecological thresholds is allocated (resource use and circular economy)
6,E5-3,Disclosure of timeframe for setting of measurable outcome-oriented targets
5,E5-3,Description of reasons why there are no plans to set measurable outcome-oriented targets
6,E5-3,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
6,E5-3,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
2,E5-4,"Disclosure of information on resource inflows related to material impacts, risks and opportunities"
5,E5-4,"Description of resource inflows for products and materials, water and property, plant and equipment used in own operations and along upstream value chain"
5,E5-4,Information about materials used to manufacture products and services
6,E5-4,Information about certification scheme used and application of cascading principle (resource inflows)
6,E5-4,Description of materials that are sourced from by-products or waste stream
5,E5-4,"Description of how double counting was avoided for reused, recycled categories and choices made"
5,E5-4,Description of methodologies used to calculate data and key assumptions used (resource inflows)
2,E5-5,"Disclosure of information on resource outflows related to material impacts, risks and opportunities"
5,E5-5,Description of key products and materials that come out of production process and that are designed along circular principles
5,E5-5,Disclosure of composition of waste
5,E5-5,Disclosure of engagement in product end-of-life waste management
5,E5-5,Description of methodologies used to calculate data and key assumptions used (resource outflows)
5,E5-5,Disclosure of expected durability of product placed on market in relation to industry average
5,E5-5,Disclosure of reparability of product
5,E5-5,Disclosure of rates of recyclable content in product and its packaging
1,E5-6,Disclosure of anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts
2,E5-6,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
2,E5-6,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts
2,E5-6,"Disclosure of critical assumptions used to quantify anticipated financial effects, sources and level of uncertainty of assumptions (resource use and circular economy)"
4,E5-6,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
4,E5-6,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from resource use and circular economy-related impacts
4,E5-6,"Description of effects considered, impacts and dependencies to which they relate and time horizons in which they are likely to materialise (resource use and circular economy)"
2,S1.SBM-3,"Disclosure of material impacts, risks and opportunities and how they interact with strategy and business model"
5,S1.SBM-3,Description of material impacts resulting from materiality assessment
7,S1.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users originate from or are connected to strategy and business models
7,S1.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users inform and contribute to adapting strategy and business model
7,S1.SBM-3,Description of types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users subject to material impacts
9,S1.SBM-3,"Disclosure of how understanding of how people in own workforce / value chain workers with particular characteristics, working in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed"
7,S1.SBM-3,Description of activities that result in positive impacts and types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users that are positively affected or could be positively affected
7,S1.SBM-3,Disclosure of specific countries or regions where positive impacts for own workforce / value chain workers / affected communities / consumers and end-users occur
7,S1.SBM-3,Description of material impacts on own workforce that may arise from transition plans for reducing negative impacts on environment and achieving greener and climate-neutral operations
7,S1.SBM-3,Information about type of operations at significant risk of incidents of forced labour or compulsory labour
7,S1.SBM-3,Information about countries or geographic areas with operations considered at significant risk of incidents of forced labour or compulsory labour
7,S1.SBM-3,Information about type of operations at significant risk of incidents of child labour
7,S1.SBM-3,Information about countries or geographic areas with operations considered at significant risk of incidents of child labour
5,S1.SBM-3,Description of material risks and (or) opportunities resulting from materiality assessment
6,S1.SBM-3,Disclosure of relationship between material risks and opportunities arising from impacts and dependencies on own workforce / value chain workers / affected communities / consumers and end-users and strategy and business model
4,S1-1,"Disclosure of policies adopted to manage material impacts on own workforce / value chain workers / affected communities / consumers and end-users, as well as associated material risks and opportunities"
5,S1-1,Description of relevant human rights policy commitments
6,S1-1,"Description of processes and mechanisms to monitor compliance with UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work and OECD Guidelines for Multinational Enterprises"
6,S1-1,"Disclosure of matters that are material in relation to, as well as general approach to respect for human rights, including labour rights"
6,S1-1,"Disclosure of matters that are material in relation to, as well as general approach to engagement with people in own workforce / value chain workers / affected communities / consumers and end-users"
6,S1-1,"Disclosure of matters that are material in relation to, as well as general approach to measures to provide and (or) enable remedy for human rights impacts"
6,S1-1,Description of how policies are aligned with relevant internationally recognised instruments
6,S1-1,"Disclosure of how policies are implemented through specific procedures to ensure discrimination is prevented, mitigated and acted upon once detected, as well as to advance diversity and inclusion"
6,S1-1,Disclosure of explanations for significant changes to policies adopted during reporting year
4,S1-1,Description of key contents of policy
4,S1-1,Description of scope of policy or of its exclusions
4,S1-1,Description of most senior level in organisation that is accountable for implementation of policy
4,S1-1,Disclosure of third-party standards or initiatives that are respected through implementation of policy
4,S1-1,Description of consideration given to interests of key stakeholders in setting policy
5,S1-1,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
5,S1-1,Disclosure of specific policy commitments related to inclusion or positive action for people from groups at particular risk of vulnerability in own workforce
4,S1-1,Disclosure of aspects of policy that satisfy requirements of disclosure of policies related to own workforce / value chain workers / affected communities / consumers and end-users
4,S1-1,Disclosure of communication tools and channels aimed at ensuring that policy is accessible and that different audiences understand its implications
4,S1-2,Disclosure of general processes for engaging with people in own workforce / value chain workers / affected communities / consumers and end-users and their representatives about actual and potential impacts
6,S1-2,Disclosure of how perspectives of own workforce / value chain workers / affected communities / consumers and end-users inform decisions or activities aimed at managing actual and potential impacts
5,S1-2,"Disclosure of stage(s) at which engagement occurs, type of engagement and frequency of engagement"
5,S1-2,Disclosure of function and most senior role within undertaking that has operational responsibility for ensuring that engagement happens and that results inform undertaking's approach
5,S1-2,Disclosure of Global Framework Agreement or other agreements with workers' representatives related to respect of human rights of own workforce
5,S1-2,Disclosure of how effectiveness of engagement with own workforce / value chain workers / affected communities / consumers and end-users is assessed
5,S1-2,Disclosure of steps taken to gain insight into perspectives of people in own workforce / value chain workers / consumers and end-users that may be particularly vulnerable to impacts and (or) marginalised
6,S1-2,Disclosure of timeframe for adoption of general process to engage with own workforce / value chain workers / affected communities / consumers and end-users
5,S1-2,Disclosure of how undertaking engages with at-risk or persons in vulnerable situations
5,S1-2,Disclosure of how potential barriers to engagement with people in own workforce are taken into account
5,S1-2,Disclosure of how people in own workforce are provided with information that is understandable and accessible through appropriate communication channels
5,S1-2,Disclosure of any conflicting interests that have arisen among own workforce and how these conflicting interests have been resolved
5,S1-2,Disclosure of how undertaking seeks to respect human rights of all stakeholders engaged
5,S1-2,Information about effectiveness of processes for engaging with own workforce from previous reporting periods
4,S1-3,"Disclosure of processes in place to provide for or cooperate in remediation of negative impacts on people in own workforce / value chain workers / affected communities / consumers and end-users that undertaking is connected with, as well as channels available to raise concerns and have them addressed"
5,S1-3,Disclosure of general approach to and processes for providing or contributing to remedy where undertaking has caused or contributed to material negative impact on people in own workforce / value chain workers / affected communities / consumers and end-users
7,S1-3,Disclosure of how undertaking assesses that remedy provided for material negative impact on people in own workforce / value chain workers / affected communities / consumers and end-users is effective
5,S1-3,Disclosure of specific channels in place for own workforce / value chain workers / affected communities / consumers and end-users to raise concerns or needs directly with undertaking and have them addressed
7,S1-3,Disclosure of how people in own workforce / value chain workers that may be affected are able to access channels at level of undertaking they are employed by or contracted to work for
5,S1-3,Disclosure of processes through which undertaking supports availability of channels in workplace of its own workforce
5,S1-3,"Disclosure of how issues raised and addressed are tracked and monitored and how effectiveness of channels is ensured, including through involvement of stakeholders who are intended users"
6,S1-3,Disclosure of how undertaking assesses that people in own workforce / value chain workers / affected communities / consumers and end-users are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed
5,S1-3,Disclosure of timeframe for channel for raising concerns to be in place
4,S1-4,"Disclosure of how action is taken to address material negative and positive impacts, and to manage material risks and pursue material opportunities related to own workforce / value chain workers / affected communities / consumers and end-users, and effectiveness of those actions"
6,S1-4,"Description of actions taken, planned or underway to prevent or mitigate material negative impacts on own workforce / value chain workers / affected communities"
8,S1-4,Disclosure of how undertaking seeks to use leverage in business relationships to manage material negative impacts affecting own workforce / value chain workers / affected communities / consumers and end-users
7,S1-4,Disclosure of how participation in industry or multi-stakeholder initiative and undertaking's own involvement is aiming to address material impacts
7,S1-4,"Disclosure of measures taken to mitigate negative impacts on own workforce that arise from transition to greener, climate-neutral economy"
6,S1-4,Description of additional actions or initiatives with primary purpose of delivering positive impacts for own workforce / value chain workers / affected communities
8,S1-4,Disclosure of how people in own workforce and workers' representatives play role in decisions regarding design and implementation of programmes or processes whose primary aim is to deliver positive impacts
7,S1-4,Disclosure of intended or achieved positive outcomes of programmes or processes for people in own workforce / value chain workers / affected communities / consumers and end-users
6,S1-4,Description of how effectiveness of actions and initiatives in delivering outcomes for own workforce / value chain workers / affected communities / consumers and end-users is tracked and assessed
6,S1-4,Description of processes through which undertaking identifies what action is needed and appropriate in response to particular actual or potential negative impact on own workforce / value chain workers / affected communities / consumers and end-users
7,S1-4,Disclosure of how undertaking ensures that own practices do not cause or contribute to material negative impacts on own workforce
6,S1-4,Disclosure of resources allocated to management of material impacts
7,S1-4,Description of internal functions that are involved in managing impacts and types of action taken by internal functions to address negative and advance positive impacts
6,S1-4,Disclosure of general and specific approaches to addressing material negative impacts
6,S1-4,Disclosure of initiatives aimed at contributing to additional material positive impacts
6,S1-4,Disclosure of how far undertaking has progressed in efforts during reporting period
6,S1-4,Disclosure of aims for continued improvement
6,S1-4,Description of what action is planned or underway to mitigate material risks arising from impacts and dependencies on own workforce / value chain workers / affected communities / consumers and end-users and how effectiveness is tracked
6,S1-4,Description of what action is planned or underway to pursue material opportunities in relation to own workforce / value chain workers / affected communities / consumers and end-users
4,S1-4,Disclosure of key action
4,S1-4,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
4,S1-4,Description of scope of key action
6,S1-4,Disclosure of how action to provide or enable remedy in relation to actual material impact on own workforce / value chain workers / affected communities / consumers and end-users has been taken
4,S1-4,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
4,S1-4,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
5,S1-4,Description of type of current and future financial and other resources allocated to action plan
5,S1-4,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
4,S1-5,Disclosure of time-bound and outcome-oriented targets
5,S1-5,Disclosure of process for setting time-bound and outcome-oriented targets
7,S1-5,Disclosure of how stakeholders have been involved in target setting
7,S1-5,Disclosure of how stakeholders have been involved in target setting
7,S1-5,Disclosure of how own workforce or workers' representatives were engaged directly in tracking performance against targets
7,S1-5,Disclosure of how own workforce or workers' representatives were engaged directly in identifying lessons or improvements as result of undertaking's performance
4,S1-5,Disclosure of measurable outcome-oriented and time-bound target
5,S1-5,Description of scope of target
5,S1-5,Indication of milestones or interim targets
5,S1-5,Description of methodologies and significant assumptions used to define target
6,S1-5,Disclosure of how stakeholders have been involved in target setting
6,S1-5,Disclosure of how stakeholders have been involved in target setting
5,S1-5,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
5,S1-5,Description of performance against disclosed target
5,S1-5,Disclosure of intended outcomes to be achieved in lives of people in own workforce / value chain workers / affected communities / consumers and end-users
5,S1-5,Disclosure of stability of target over time in terms of definitions and methodologies to enable comparability
5,S1-5,Disclosure of standards or commitments on which target is based
6,S1-5,Disclosure of timeframe for setting of measurable outcome-oriented targets
5,S1-5,Description of reasons why there are no plans to set measurable outcome-oriented targets
6,S1-5,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
6,S1-5,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
2,S1-6,Description of key characteristics of employees in own workforce
5,S1-6,Description of methodologies and assumptions used to compile data (employees)
7,S1-6,Explanation of another methodology used to compile data (employees)
6,S1-6,Description of methodology for employee turnover rate
5,S1-6,Disclosure of contextual information necessary to understand data (employees)
6,S1-6,Explanation of why it is not possible to disclose data about employees for gender categorised as other than female and male and why this category is not applicable
5,S1-6,Disclosure of reference of information reported on total number of employees to most representative number in financial statements
2,S1-7,Description of key characteristics of non-employees in own workforce
5,S1-7,Description of methodologies and assumptions used to compile data (non-employees)
7,S1-7,Explanation of another methodology used to compile data (non-employees)
5,S1-7,Disclosure of contextual information necessary to understand data (non-employees)
5,S1-7,"Disclosure of most common types of non-employees, their relationship with undertaking, and type of work that they perform"
6,S1-7,Description of basis of preparation of non-employees estimated number
2,S1-8,Disclosure of extent to which working conditions and terms of employment of employees are determined or influenced by collective bargaining agreements and extent to which employees are represented in social dialogue in EEA at establishment and European level
5,S1-8,Disclosure of extent to which working conditions and terms of employment of non-employees in own workforce are determined or influenced by collective bargaining agreements
5,S1-8,"Disclosure of existence of any agreement with employees for representation by European Works Council (EWC), Societas Europaea (SE) Works Council, or Societas Cooperativa Europaea (SCE) Works Council"
2,S1-9,Disclosure of gender distribution at top management and age distribution amongst employees
5,S1-9,Disclosure of own definition of top management used
2,S1-10,"Disclosure of whether or not employees are paid adequate wage, and if not all employees are paid adequate wage, countries and percentage of employees concerned"
2,S1-11,Disclosure of whether employees are covered by social protection against loss of income due to major life events and countries where this is not case
5,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to sickness"
5,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to unemployment starting from when own worker is working for undertaking"
5,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to employment injury and acquired disability"
5,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to parental leave"
5,S1-11,"Disclosure of types of employees and (or) non-employees who are not covered by social protection, through public programs or through benefits offered, against loss of income due to retirement"
2,S1-12,Disclosure of percentage of own employees with disabilities
5,S1-12,Disclosure of contextual information necessary to understand data and how data has been compiled (persons with disabilities)
2,S1-13,Disclosure of extent to which training and skills development is provided to employees
2,S1-14,Disclosure of extent to which own workforce is covered by health and safety management system
5,S1-14,Description of underlying standards for internal audit or external certification of health and safety management system
2,S1-15,Disclosure of extent to which employees are entitled to and make use of family-related leave
2,S1-16,Disclosure of percentage gap in pay between female and male employees and ratio between remuneration of highest paid individual and median remuneration for employees
5,S1-16,"Disclosure of contextual information necessary to understand data, how data has been compiled and other changes to underlying data that are to be considered"
6,S1-16,Disclosure of methodology used for calculation of remuneration ratio adjusted for purchasing power differences between countries
2,S1-17,"Disclosure of number of work-related incidents and (or) complaints and severe human rights impacts within own workforce and any related material fines, sanctions or compensation"
5,S1-17,"Information about reconciliation of fines, penalties, and compensation for damages as result of incidents and complaints with most relevant amount presented in financial statements"
5,S1-17,"Disclosure of contextual information necessary to understand data and how data has been compiled (incidents, complaints and severe human rights impacts)"
5,S1-17,"Information about reconciliation of amount of fines, penalties, and compensation for damages for severe human rights incidents connected to own workforce with most relevant amount presented in financial statements"
5,S1-17,"Disclosure of status of incidents and (or) complaints and actions taken (incidents, complaints and severe human rights impacts)"
2,S2.SBM-3,"Disclosure of material impacts, risks and opportunities and how they interact with strategy and business model"
5,S2.SBM-3,Description of material impacts resulting from materiality assessment
7,S2.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users originate from or are connected to strategy and business models
7,S2.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users inform and contribute to adapting strategy and business model
7,S2.SBM-3,Description of types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users subject to material impacts
9,S2.SBM-3,"Disclosure of how understanding of how people in own workforce / value chain workers with particular characteristics, working in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed"
7,S2.SBM-3,"Disclosure of geographies or commodities for which there is significant risk of child labour, or of forced labour or compulsory labour, among workers in undertaking's value chain"
7,S2.SBM-3,Description of activities that result in positive impacts and types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users that are positively affected or could be positively affected
7,S2.SBM-3,Disclosure of specific countries or regions where positive impacts for own workforce / value chain workers / affected communities / consumers and end-users occur
5,S2.SBM-3,Description of material risks and (or) opportunities resulting from materiality assessment
6,S2.SBM-3,Disclosure of relationship between material risks and opportunities arising from impacts and dependencies on own workforce / value chain workers / affected communities / consumers and end-users and strategy and business model
4,S2-1,"Disclosure of policies adopted to manage material impacts on own workforce / value chain workers / affected communities / consumers and end-users, as well as associated material risks and opportunities"
5,S2-1,Description of relevant human rights policy commitments
6,S2-1,"Description of processes and mechanisms to monitor compliance with UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work and OECD Guidelines for Multinational Enterprises"
6,S2-1,"Disclosure of matters that are material in relation to, as well as general approach to respect for human rights, including labour rights"
6,S2-1,"Disclosure of matters that are material in relation to, as well as general approach to engagement with people in own workforce / value chain workers / affected communities / consumers and end-users"
6,S2-1,"Disclosure of matters that are material in relation to, as well as general approach to measures to provide and (or) enable remedy for human rights impacts"
6,S2-1,Description of how policies are aligned with relevant internationally recognised instruments
5,S2-1,"Disclosure of extent to which cases of non-respect of UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises that involve value chain workers have been reported in upstream and downstream value chain"
6,S2-1,"Disclosure of nature of cases of non-respect of UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises"
5,S2-1,Disclosure of explanations for significant changes to policies adopted during reporting year
4,S2-1,Description of key contents of policy
4,S2-1,Description of scope of policy or of its exclusions
4,S2-1,Description of most senior level in organisation that is accountable for implementation of policy
4,S2-1,Disclosure of third-party standards or initiatives that are respected through implementation of policy
4,S2-1,Description of consideration given to interests of key stakeholders in setting policy
5,S2-1,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
4,S2-1,Disclosure of aspects of policy that satisfy requirements of disclosure of policies related to own workforce / value chain workers / affected communities / consumers and end-users
4,S2-1,Disclosure of communication tools and channels aimed at ensuring that policy is accessible and that different audiences understand its implications
4,S2-2,Disclosure of general processes for engaging with people in own workforce / value chain workers / affected communities / consumers and end-users and their representatives about actual and potential impacts
6,S2-2,Disclosure of how perspectives of own workforce / value chain workers / affected communities / consumers and end-users inform decisions or activities aimed at managing actual and potential impacts
5,S2-2,"Disclosure of stage(s) at which engagement occurs, type of engagement and frequency of engagement"
5,S2-2,Disclosure of function and most senior role within undertaking that has operational responsibility for ensuring that engagement happens and that results inform undertaking's approach
5,S2-2,Disclosure of Global Framework Agreements or agreements with global union federations related to respect of human rights of workers in value chain
5,S2-2,Disclosure of how effectiveness of engagement with own workforce / value chain workers / affected communities / consumers and end-users is assessed
5,S2-2,Disclosure of steps taken to gain insight into perspectives of people in own workforce / value chain workers / consumers and end-users that may be particularly vulnerable to impacts and (or) marginalised
6,S2-2,Disclosure of timeframe for adoption of general process to engage with own workforce / value chain workers / affected communities / consumers and end-users
4,S2-3,"Disclosure of processes in place to provide for or cooperate in remediation of negative impacts on people in own workforce / value chain workers / affected communities / consumers and end-users that undertaking is connected with, as well as channels available to raise concerns and have them addressed"
5,S2-3,Disclosure of general approach to and processes for providing or contributing to remedy where undertaking has caused or contributed to material negative impact on people in own workforce / value chain workers / affected communities / consumers and end-users
7,S2-3,Disclosure of how undertaking assesses that remedy provided for material negative impact on people in own workforce / value chain workers / affected communities / consumers and end-users is effective
5,S2-3,Disclosure of specific channels in place for own workforce / value chain workers / affected communities / consumers and end-users to raise concerns or needs directly with undertaking and have them addressed
7,S2-3,Disclosure of how people in own workforce / value chain workers that may be affected are able to access channels at level of undertaking they are employed by or contracted to work for
5,S2-3,Disclosure of processes through which undertaking supports or requires availability of channels in workplace of value chain workers
5,S2-3,"Disclosure of how issues raised and addressed are tracked and monitored and how effectiveness of channels is ensured, including through involvement of stakeholders who are intended users"
6,S2-3,Disclosure of how undertaking assesses that people in own workforce / value chain workers / affected communities / consumers and end-users are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed
5,S2-3,Disclosure of timeframe for channel for raising concerns to be in place
4,S2-4,"Disclosure of how action is taken to address material negative and positive impacts, and to manage material risks and pursue material opportunities related to own workforce / value chain workers / affected communities / consumers and end-users, and effectiveness of those actions"
6,S2-4,"Description of actions taken, planned or underway to prevent or mitigate material negative impacts on own workforce / value chain workers / affected communities"
8,S2-4,Disclosure of how undertaking seeks to use leverage in business relationships to manage material negative impacts affecting own workforce / value chain workers / affected communities / consumers and end-users
7,S2-4,Disclosure of how participation in industry or multi-stakeholder initiative and undertaking's own involvement is aiming to address material impacts
6,S2-4,Description of additional actions or initiatives with primary purpose of delivering positive impacts for own workforce / value chain workers / affected communities
8,S2-4,Disclosure of how value chain workers / affected communities / consumers and end-users and legitimate representatives or their credible proxies play role in decisions regarding design and implementation of programmes or processes
7,S2-4,Disclosure of intended or achieved positive outcomes of programmes or processes for people in own workforce / value chain workers / affected communities / consumers and end-users
6,S2-4,Description of how effectiveness of actions and initiatives in delivering outcomes for own workforce / value chain workers / affected communities / consumers and end-users is tracked and assessed
6,S2-4,Description of processes through which undertaking identifies what action is needed and appropriate in response to particular actual or potential negative impact on own workforce / value chain workers / affected communities / consumers and end-users
6,S2-4,Description of approach to taking action in relation to specific material negative impacts on value chain workers / affected communities / consumers and end-users
6,S2-4,Description of how it is ensured that processes to provide or enable remedy in event of material negative impacts on value chain workers / affected communities / consumers and end-users are available and effective in their implementation and outcomes
7,S2-4,Disclosure of how action is taken to avoid causing or contributing to material negative impacts on value chain workers / affected communities / consumers and end-users through own practices
6,S2-4,Disclosure of resources allocated to management of material impacts
7,S2-4,Description of internal functions that are involved in managing impacts and types of action taken by internal functions to address negative and advance positive impacts
